Bloque 1 – Variables y tipos de datos	
Bloque 7 – Diccionarios	
136	Crea un diccionario con nombre y edad.
137	Agrega nuevos pares clave–valor.
138	Actualiza un valor existente.
139	Elimina una clave específica.
140	Busca un valor a partir de su clave.
141	Recorre un diccionario mostrando claves y valores.
142	Cuenta cuántos elementos tiene un diccionario.
143	Calcula el promedio de valores numéricos.
144	Diccionario de alumnos y notas.
145	Muestra al alumno con mejor nota.
146	Muestra al alumno con peor nota.
147	Valida si un alumno existe.
148	Crea un diccionario de productos y precios.
149	Calcula el total de una compra.
150	Aplica descuento a productos.
151	Diccionario de conteo de palabras.
152	Cuenta frecuencia de letras.
153	Agenda telefónica básica.
154	Permite agregar, buscar y eliminar contactos.
155	Simula un sistema de login con diccionario.
156	Valida usuario y contraseña.
157	Diccionario anidado (usuario → datos).
158	Actualiza datos internos.
159	Genera un reporte desde el diccionario.
160	Convierte diccionario a lista de claves y valores.
Bloque 8 – Funciones	
161	Crea una función que sume dos números.
162	Función que determine si un número es par.
163	Función que calcule el promedio de una lista.
164	Función que encuentre el mayor valor.
165	Función que valide una edad.
166	Función que calcule descuento.
167	Función que convierta temperaturas.
168	Función que reciba un texto y cuente vocales.
169	Función que invierta una palabra.
170	Función que verifique palíndromos.
171	Función que valide contraseña.
172	Función que genere una lista de pares.
173	Función que reciba una lista y elimine duplicados.
174	Función que busque un valor en una lista.
175	Función que ordene una lista.
176	Función que simule un menú.
177	Función que controle un juego simple.
178	Función que imprima estadísticas.
179	Divide un programa en varias funciones.
180	Refactoriza un código largo usando funciones.
Bloque 9 – Algoritmos básicos	
181	Implementa búsqueda lineal en una lista y devuelve la posición del elemento o -1.
182	Implementa búsqueda binaria en una lista ordenada.
183	Ordena una lista usando burbuja paso a paso.
184	Ordena una lista usando selección.
185	Ordena una lista usando inserción.
186	Compara burbuja vs selección contando iteraciones.
187	Genera una lista aleatoria y ordénala.
188	Verifica si una lista ya está ordenada.
189	Mezcla dos listas ordenadas en una sola ordenada.
190	Encuentra el segundo número más grande.
191	Encuentra el segundo número más pequeño.
192	Elimina duplicados manteniendo el orden.
193	Divide una lista en bloques de tamaño N.
194	Rota una lista N posiciones.
195	Encuentra la suma máxima de una sublista.
196	Encuentra la sublista más larga sin repetir.
197	Cuenta cuántas comparaciones hace un algoritmo.
198	Determina la complejidad aproximada de tu código.
199	Optimiza un algoritmo lento.
200	Detecta valores fuera de rango.
201	Encuentra elementos faltantes en una secuencia.
202	Detecta números duplicados.
203	Valida listas vacías o con un solo elemento.
204	Implementa un conteo de frecuencias eficiente.
205	Ordena una lista de diccionarios por un campo.
206	Filtra datos según condiciones múltiples.
207	Busca el elemento más frecuente.
208	Agrupa elementos iguales.
209	Encuentra la intersección de dos listas sin sets.
210	Implementa una búsqueda con múltiples criterios.
Bloque 10 – Archivos	
211	Crea un archivo de texto y escribe un mensaje.
212	Lee el contenido de un archivo y muéstralo.
213	Agrega contenido a un archivo existente.
214	Cuenta cuántas líneas tiene un archivo.
215	Cuenta cuántas palabras hay en un archivo.
216	Cuenta cuántos caracteres tiene un archivo.
217	Copia el contenido de un archivo a otro.
218	Busca una palabra específica dentro de un archivo.
219	Reemplaza una palabra dentro del archivo.
220	Convierte el contenido a mayúsculas.
221	Guarda una lista en un archivo.
222	Lee una lista desde un archivo.
223	Guarda un diccionario en un archivo.
224	Lee un diccionario desde un archivo.
225	Simula una base de datos simple con archivos.
226	Guarda registros de usuarios.
227	Carga registros al iniciar el programa.
228	Actualiza un registro guardado.
229	Elimina un registro del archivo.
230	Genera reportes desde archivos.
231	Maneja errores si el archivo no existe.
232	Valida formato de datos al leer.
233	Limpia datos corruptos.
234	Usa archivos para persistir un menú.
235	Diseña un mini sistema basado en archivos.
Bloque 11 - Manejo de errores	
236	Maneja errores de entrada no numérica.
237	Evita división por cero.
238	Usa try/except correctamente.
239	Captura errores específicos.
240	Muestra mensajes de error claros.
241	Reintenta entrada tras error.
242	Valida rangos numéricos.
243	Maneja errores en archivos.
244	Maneja errores en listas vacías.
245	Maneja errores en claves inexistentes.
246	Diseña validaciones previas.
247	Crea funciones seguras.
248	Evita que el programa se caiga.
249	Registra errores en un archivo.
250	Prueba casos extremos.
251	Simula errores intencionales.
252	Mejora mensajes de error.
253	Controla flujos incorrectos.
254	Protege entradas del usuario.
255	Diseña un sistema robusto.
Bloque 12 – Retos algorítmico	
256	Dado un número, determina si es primo sin usar funciones predefinidas.
257	Genera todos los números primos menores que N.
258	Encuentra el máximo común divisor (MCD).
259	Encuentra el mínimo común múltiplo (MCM).
260	Implementa la criba de Eratóstenes.
261	Verifica si un número es perfecto.
262	Verifica si un número es armstrong.
263	Convierte un número decimal a binario manualmente.
264	Convierte binario a decimal manualmente.
265	Invierte una matriz.
266	Suma dos matrices.
267	Multiplica dos matrices.
268	Encuentra la diagonal principal.
269	Transpone una matriz.
270	Rota una matriz 90°.
271	Busca un valor en una matriz.
272	Cuenta cuántas veces aparece un valor.
273	Genera una matriz identidad.
274	Valida dimensiones antes de operar.
275	Simula un tablero de juego.
276	Detecta patrones en una matriz.
277	Encuentra filas repetidas.
278	Encuentra columnas repetidas.
279	Implementa un recorrido en espiral.
280	Cuenta vecinos (tipo buscaminas).
281	Detecta colisiones simples.
282	Simula movimiento en una grilla.
283	Aplica reglas por turnos.
284	Evalúa estado del juego.
285	Optimiza el algoritmo del tablero.
Bloque 13 – Recursión	
286	Calcula factorial usando recursión.
287	Calcula Fibonacci recursivo.
288	Cuenta hacia atrás recursivamente.
289	Suma elementos de una lista recursivamente.
290	Busca un elemento recursivamente.
291	Calcula potencia usando recursión.
292	Cuenta dígitos de un número.
293	Invierte una cadena.
294	Verifica palíndromo recursivo.
295	Recorre una matriz recursivamente.
296	Implementa búsqueda binaria recursiva.
297	Implementa recorrido de árbol simple.
298	Simula un menú recursivo.
299	Valida entradas recursivamente.
300	Divide un problema en subproblemas.
301	Analiza profundidad de recursión.
302	Evita recursión infinita.
303	Convierte recursión a iteración.
304	Compara eficiencia.
305	Usa recursión solo cuando conviene.
Bloque 14 - Algoritmos básicos	
306	Implementa búsqueda lineal en una lista y devuelve la posición del elemento o -1.
307	Implementa búsqueda binaria en una lista ordenada.
308	Ordena una lista usando burbuja paso a paso.
309	Ordena una lista usando selección.
310	Ordena una lista usando inserción.
311	Compara burbuja vs selección contando iteraciones.
312	Genera una lista aleatoria y ordénala.
313	Verifica si una lista ya está ordenada.
314	Mezcla dos listas ordenadas en una sola ordenada.
315	Encuentra el segundo número más grande.
316	Encuentra el segundo número más pequeño.
317	Elimina duplicados manteniendo el orden.
318	Divide una lista en bloques de tamaño N.
319	Rota una lista N posiciones.
320	Encuentra la suma máxima de una sublista.
321	Encuentra la sublista más larga sin repetir.
322	Cuenta cuántas comparaciones hace un algoritmo.
323	Determina la complejidad aproximada de tu código.
324	Optimiza un algoritmo lento.
325	Detecta valores fuera de rango.
326	Encuentra elementos faltantes en una secuencia.
327	Detecta números duplicados.
328	Valida listas vacías o con un solo elemento.
329	Implementa un conteo de frecuencias eficiente.
330	Ordena una lista de diccionarios por un campo.
331	Filtra datos según condiciones múltiples.
332	Busca el elemento más frecuente.
333	Agrupa elementos iguales.
334	Encuentra la intersección de dos listas sin sets.
335	Implementa una búsqueda con múltiples criterios.
